Cluster Index	Z	x	y	z	
18	8.55	-36	-90	15
18	8.03	42	-87	15
18	7.68	33	-78	15
18	7.37	33	-84	21
18	7.01	-15	-84	45
18	6.83	-51	-39	54
17	6.46	60	9	-6
17	6.43	45	-33	63
17	6.09	30	-3	66
17	5.97	69	-27	33
17	5.79	69	-21	39
17	5.76	66	-3	6
16	11.8	30	-60	-6
16	10.7	30	-51	-6
16	10.2	-27	-63	-9
16	8.86	24	-75	-18
16	6.12	0	-90	-6
16	6.01	-48	-63	-3
15	6.39	-42	39	33
15	4.91	-42	39	18
15	4.35	-45	42	24
14	5.4	27	48	30
14	4.53	42	42	24
14	4.41	39	48	24
13	4.36	-33	60	6
13	4.32	-21	69	0
13	4.31	-24	60	3
13	4.1	-9	57	3
13	3.72	-18	63	3
13	3.46	-18	57	-3
12	4.26	-21	6	60
12	4	-21	-3	66
12	3.95	-33	-3	63
11	4.72	21	57	3
11	3.76	33	57	12
10	5.46	-9	-33	81
10	4.77	-18	-24	81
9	4.22	-33	-15	0
9	4.05	-39	-15	-6
8	4.41	18	-75	-51
8	4.37	12	-69	-54
8	3.26	24	-69	-57
7	4.72	51	-69	-30
7	4.26	51	-63	-21
7	4.07	45	-78	-30
6	5.5	-51	3	42
6	3.6	-42	15	45
6	3.46	-51	15	42
5	5.07	18	-60	12
4	4.91	-30	-54	-60
4	3.97	-33	-69	-60
4	3.74	-27	-78	-54
3	3.7	-15	-63	9
3	3.67	-18	-69	15
3	3.55	-21	-60	18
2	3.81	-15	21	-3
2	3.72	-12	18	-9
2	3.63	-6	9	-3
1	4.15	36	21	36
1	3.86	42	15	42
