Cluster Index	Z	x	y	z	
10	7.73	18	-99	-6
10	6.67	33	-90	0
10	6.12	24	-84	-3
10	6.02	36	-87	-12
10	4.19	12	-81	-18
9	7.22	-24	-87	3
9	7.15	-30	-78	-15
9	7.02	-30	-90	-3
9	5.44	-15	-102	6
9	5.31	-18	-87	-15
9	4.73	-21	-93	-12
8	7.25	-42	-66	-15
8	3.75	-30	-48	-18
8	3.68	-30	-42	-21
8	3.51	-45	-60	-33
8	3.46	-45	-72	-30
8	3.39	-51	-66	-27
7	4.85	-24	-24	63
7	4.65	-30	-24	54
7	3.98	-42	-21	63
7	3.87	-48	-15	60
7	3.86	-21	-27	78
7	3.74	-39	-27	54
6	5.68	-3	-3	57
6	5.53	15	-3	72
6	5.48	12	3	54
6	4.36	15	-3	63
5	6.73	36	-60	-12
5	4.97	48	-69	-15
5	4.43	33	-69	-21
4	5.16	-12	-3	75
4	4.83	-9	6	51
4	4.47	-15	3	57
4	4.04	-15	-3	63
4	3.44	-12	12	42
3	4.73	-39	-3	45
3	4.4	-48	0	42
3	4.32	-54	0	51
3	4.09	-48	3	57
2	4.71	-33	-54	57
2	4.49	-30	-48	51
2	4.31	-24	-51	51
2	4.13	-24	-57	48
1	4.24	-18	-12	30
1	4.24	-27	-12	39
1	3.73	-21	-18	30
1	3.21	-24	-30	33
