Cluster Index	Z	x	y	z	
6	6.89	18	17	23
6	5.61	18	26	21
6	5.47	18	25	18
6	5.46	18	28	21
6	5.27	22	12	24
6	5.14	26	13	21
5	5.84	46	17	22
5	5.84	46	14	26
5	5.8	45	24	20
5	5.65	44	14	21
5	5.62	39	11	26
5	5.6	42	13	26
4	5.69	30	42	48
4	5.04	30	45	45
4	4.62	28	45	52
4	4.52	30	43	53
4	4.22	37	43	52
4	4.15	34	45	44
3	5.05	18	42	31
3	4.11	15	44	36
3	3.81	20	47	30
3	3.79	12	45	31
3	3.6	24	42	30
3	3.57	26	47	26
2	4.88	24	22	40
2	2.91	22	19	33
1	3.76	20	37	44
1	3.29	19	35	47
1	3.01	23	36	48
1	2.73	21	35	51
1	2.69	16	38	44
