Cluster Index	Z	x	y	z	
9	4.94	33	54	37
9	4.71	33	59	32
9	4.41	29	57	35
9	4.26	34	49	40
9	4.25	32	56	33
9	4.06	33	53	44
8	6.08	45	56	35
8	5.16	46	58	31
8	4.71	46	54	37
8	4.59	43	61	33
8	4.42	44	54	40
8	4.35	46	58	28
7	4.74	22	51	29
7	4.63	20	49	26
7	4.54	22	52	27
6	4.7	42	51	25
6	4.02	44	50	28
6	3.97	43	47	22
6	3.63	43	44	22
6	3.4	41	49	22
6	3.38	42	42	25
5	4.59	49	50	38
5	4.42	48	47	37
5	4.27	47	44	37
5	3.51	49	46	41
4	3.72	28	61	27
4	3.7	30	58	27
4	3.54	35	58	26
4	3.5	33	59	28
3	4.62	17	54	34
3	3.86	22	55	37
3	3.72	20	56	37
2	3.85	42	48	45
2	3.75	47	43	44
2	3.25	45	45	45
1	3.99	23	46	22
1	3.34	21	43	24
