Cluster Index	Z	x	y	z	
17	7.34	16	18	14
17	6.34	44	26	17
17	6.18	47	22	15
17	5.8	16	22	12
17	5.79	42	17	11
17	5.58	49	26	14
16	5.7	26	51	46
16	5.66	19	44	46
16	5.57	19	45	44
16	5.34	18	46	36
16	5.09	25	47	48
16	5.08	27	49	45
15	4.9	20	21	46
15	4.8	14	28	41
15	4.77	24	26	44
15	4.54	17	23	45
15	4.51	28	25	45
15	4.43	23	23	46
14	6.15	19	54	36
14	4.7	24	60	31
14	4.61	15	56	35
14	4.59	21	64	30
14	4.57	23	64	31
14	4.38	21	61	30
13	5.82	14	36	23
13	5.48	14	31	20
13	5.43	16	33	23
13	4.77	11	34	26
13	4.68	12	27	20
13	3.92	13	27	23
12	5.14	31	49	43
12	4.55	33	55	39
12	4.24	28	51	41
12	3.87	29	55	35
12	3.86	28	57	35
12	3.75	35	52	37
11	5.31	40	45	48
11	4.22	42	43	49
11	4.07	44	45	47
10	5.09	35	41	32
10	4.91	30	45	32
10	4.31	35	46	32
10	3.65	30	47	34
9	4.46	47	60	36
9	3.88	46	58	40
9	3.79	46	56	38
9	3.73	44	56	41
8	4.32	43	14	26
8	4.22	44	14	23
7	5.03	49	25	45
7	3.5	45	21	44
6	4.58	43	62	31
6	4.27	39	66	28
6	3.77	41	64	31
5	5.32	41	60	21
4	4.16	15	56	25
4	3.81	21	56	20
4	3.77	17	58	24
3	4.64	22	52	24
2	3.94	23	19	38
1	5.06	43	62	26
1	3.77	46	60	25
