Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
13	4341	0	98	9.06	31	34	51	25.3	39	42.8	367	29	39	53	79.4
12	858	7e-33	32.2	9.21	35	18	21	21.1	22.1	22.6	254	20	26	19	75.6
11	688	2.99e-28	27.5	8.68	47	25	24	44	19.8	24.4	213	39	16	19	65.3
10	200	7.21e-12	11.1	6.03	34	50	38	29.8	51	38.1	113	33	46	41	42.2
9	166	2.26e-10	9.65	6.66	30	25	14	30.4	26.2	14.3	109	31	28	16	60
8	107	1.79e-07	6.75	5.22	39	43	22	35.2	43	19.9	252	31	44	19	125
7	77	7.75e-06	5.11	5.7	7	39	20	9.11	38.4	19.1	116	7	39	21	52.1
6	67	3.09e-05	4.51	5.5	42	52	29	41.7	51.7	28.1	64.3	42	52	29	40.4
5	50	0.000385	3.41	5.33	33	42	28	31.5	40.6	28.2	174	32	43	28	76.6
4	45	0.000851	3.07	4.96	49	31	31	49.4	32.9	28.5	69.4	52	29	30	44.6
3	36	0.00384	2.42	4.05	22	22	9	22.5	21.4	10.5	54.9	21	22	9	45.4
2	33	0.00652	2.19	5.97	32	27	28	31.9	28.5	27.5	257	32	27	29	144
1	30	0.0112	1.95	5.05	43	59	30	43.9	59.4	30.5	61.4	45	60	32	44.4
