Cluster Index	Z	x	y	z	
11	7.52	-48	27	-27
11	6.21	-54	21	-36
11	5.94	-45	-3	-18
11	5.85	-9	-69	-3
11	5.51	-42	15	-30
11	5.26	-45	18	-39
10	6.02	0	57	21
10	5.54	9	57	15
10	5.34	-6	57	-9
10	5.15	-12	30	3
10	5.02	3	60	12
10	4.87	6	54	27
9	5.73	54	6	-30
9	5.32	45	15	-27
9	5.3	54	-6	-15
9	5.11	48	18	-33
9	5.03	54	3	-18
9	4.72	39	6	-21
8	5.31	-36	-81	-42
8	5.17	-30	-84	-42
8	5.08	-39	-84	-54
8	5.05	-42	-87	-30
8	4.72	-24	-81	-51
8	4.58	-6	-96	-36
7	5.1	-54	36	36
7	4.85	-54	27	39
7	4.36	-54	42	6
7	4.34	-57	36	12
7	4.31	-60	30	18
7	4.07	-57	33	27
6	3.65	0	0	15
6	3.55	0	-24	-12
6	3.44	-3	9	9
6	3.32	0	-27	-30
6	3.3	6	-3	3
6	3.27	9	-12	-6
5	4.76	-48	-78	12
5	4.05	-51	-69	30
5	3.75	-45	-66	36
5	3.4	-42	-78	27
5	3.37	-54	-84	3
5	3.27	-48	-81	6
4	6.09	-30	72	-6
4	5.14	-21	60	-15
4	4.09	-18	69	-3
4	3.87	-12	72	-3
4	3.6	-39	66	-3
4	3.11	-15	75	6
3	4.09	-33	-24	-9
3	3.67	-36	-30	-12
3	3.53	-24	-33	-21
3	3.14	-33	-30	3
3	3.12	-48	-21	6
3	2.98	-39	-27	6
2	4.79	60	-72	9
2	4.38	39	-60	27
2	3.56	63	-66	12
2	3.52	54	-63	18
2	2.75	51	-51	24
1	5.93	54	51	-15
1	4.26	39	66	6
1	3.97	30	66	12
1	3.71	39	63	-3
1	3.68	33	63	-18
1	2.65	39	63	-15
